,0
1804,031100
1805,031101
1806,031102
1807,031103
1808,031104
1809,031105
1810,031106
1811,031107
1812,031108
1813,031109
1814,03110B
1815,03110C
1816,03110P
1817,03111
1818,031110
1819,031111
1820,031112
1821,031113
1822,031114
1823,031115
1824,031116
1825,031117
1826,031118
1827,031119
1828,03111B
1829,03111C
1830,03111P
1831,03112
1832,031120
1833,031121
1834,031122
1835,031123
1836,031124
1837,031125
1838,031126
1839,031127
1840,031128
1841,031129
1842,03112B
1843,03112C
1844,03112P
1845,03113
1846,031130
1847,031131
1848,031132
1849,031133
1850,031134
1851,031135
1852,031136
1853,031137
1854,031138
1855,031139
1856,03113B
1857,03113C
1858,03113P
1859,03114
1860,031140
1861,031141
1862,031142
1863,031143
1864,031144
1865,031145
1866,031146
1867,031147
1868,031148
1869,031149
1870,03114B
1871,03114C
1872,03114P
1873,03115
1874,031150
1875,031151
1876,031152
1877,031153
1878,031154
1879,031155
1880,031156
1881,031157
1882,031158
1883,031159
1884,03115B
1885,03115C
1886,03115P
1887,03116
1888,031160
1889,031161
1890,031162
1891,031163
1892,031164
1893,031165
1894,031166
1895,031167
1896,031168
1897,031169
1898,03116B
1899,03116C
1900,03116P
1901,03117
1902,031170
1903,031171
1904,031172
1905,031173
1906,031174
1907,031175
1908,031176
1909,031177
1910,031178
1911,031179
1912,03117B
1913,03117C
1914,03117P
1915,03118
1916,031180
1917,031181
1918,031182
1919,031183
1920,031184
1921,031185
1922,031186
1923,031187
1924,031188
1925,031189
1926,03118B
1927,03118C
1928,03118P
1929,03119
1930,031190
1931,031191
1932,031192
1933,031193
1934,031194
1935,031195
1936,031196
1937,031197
1938,031198
1939,031199
1940,03119B
1941,03119C
1942,03119P
1943,0312
1944,03120
1945,031200
1946,031201
1947,031202
1948,031203
1949,031204
1950,031205
1951,031206
1952,031207
1953,031208
1954,031209
1955,03120B
1956,03120C
1957,03120P
1958,03121
1959,031210
1960,031211
1961,031212
1962,031213
1963,031214
1964,031215
1965,031216
1966,031217
1967,031218
1968,031219
1969,03121B
1970,03121C
1971,03121P
1972,03122
1973,031220
1974,031221
1975,031222
1976,031223
1977,031224
1978,031225
1979,031226
1980,031227
1981,031228
1982,031229
1983,03122B
1984,03122C
1985,03122P
1986,03123
1987,031230
1988,031231
1989,031232
1990,031233
1991,031234
1992,031235
1993,031236
1994,031237
1995,031238
1996,031239
1997,03123B
1998,03123C
1999,03123P
2000,03124
2001,031240
2002,031241
2003,031242
2004,031243
2005,031244
2006,031245
2007,031246
2008,031247
2009,031248
2010,031249
2011,03124B
2012,03124C
2013,03124P
2014,03125
2015,031250
2016,031251
2017,031252
2018,031253
2019,031254
2020,031255
2021,031256
2022,031257
2023,031258
2024,031259
2025,03125B
2026,03125C
2027,03125P
2028,03126
2029,031260
2030,031261
2031,031262
2032,031263
2033,031264
2034,031265
2035,031266
2036,031267
2037,031268
2038,031269
2039,03126B
2040,03126C
2041,03126P
2042,03127
2043,031270
2044,031271
2045,031272
2046,031273
2047,031274
2048,031275
2049,031276
2050,031277
2051,031278
2052,031279
2053,03127B
2054,03127C
2055,03127P
2056,03128
2057,031280
2058,031281
2059,031282
2060,031283
2061,031284
2062,031285
2063,031286
2064,031287
2065,031288
2066,031289
2067,03128B
2068,03128C
2069,03128P
2070,03129
2071,031290
2072,031291
2073,031292
2074,031293
2075,031294
2076,031295
2077,031296
2078,031297
2079,031298
2080,031299
2081,03129B
2082,03129C
2083,03129P
2084,0313
2085,03130
2086,031300
2087,031301
2088,031302
2089,031303
2090,031304
2091,031305
2092,031306
2093,031307
2094,031308
2095,031309
2096,03130B
2097,03130C
2098,03130P
2099,03131
2100,031310
2101,031311
2102,031312
2103,031313
2104,031314
2105,031315
2106,031316
2107,031317
2108,031318
2109,031319
2110,03131B
2111,03131C
2112,03131P
2113,03132
2114,031320
2115,031321
2116,031322
2117,031323
2118,031324
2119,031325
2120,031326
2121,031327
2122,031328
2123,031329
2124,03132B
2125,03132C
2126,03132P
2127,03133
2128,031330
2129,031331
2130,031332
2131,031333
2132,031334
2133,031335
2134,031336
2135,031337
2136,031338
2137,031339
2138,03133B
2139,03133C
2140,03133P
2141,03134
2142,031340
2143,031341
2144,031342
2145,031343
2146,031344
2147,031345
2148,031346
2149,031347
2150,031348
2151,031349
2152,03134B
2153,03134C
2154,03134P
2155,03135
2156,031350
2157,031351
2158,031352
2159,031353
2160,031354
2161,031355
2162,031356
2163,031357
2164,031358
2165,031359
2166,03135B
2167,03135C
2168,03135P
2169,03136
2170,031360
2171,031361
2172,031362
2173,031363
2174,031364
2175,031365
2176,031366
2177,031367
2178,031368
2179,031369
2180,03136B
2181,03136C
2182,03136P
2183,03137
